Species;Coloniality;Corallite.width.maximum;Colony.maximum.diameter;Depth.lower;Depth.upper;Growth.form.typical;Wave.exposure.preference;Water.clarity.preference;Substrate.attachment;Skeletal.density;Sexual.system;Mode.of.larval.development;Growth.rate
Astreopora_cucullata;colonial;2.3;NA;15;5;massive;broad;clear;attached;NA;NA;NA;NA
Astreopora_expansa;colonial;2.3;NA;15;5;laminar;broad;clear;attached;NA;NA;NA;NA
Astreopora_gracilis;colonial;1.6;NA;15;5;massive;broad;turbid;attached;NA;hermaphrodite;spawner;NA
Astreopora_incrustans;colonial;0.9;100;40;2;encrusting;exposed;clear;attached;NA;NA;NA;NA
Astreopora_listeri;colonial;1.6;NA;30;5;massive;broad;turbid;attached;NA;hermaphrodite;spawner;NA
Astreopora_macrostoma;colonial;2.5;NA;15;5;encrusting;broad;clear;attached;NA;NA;NA;NA
Astreopora_moretonensis;colonial;2.5;NA;15;2;laminar;exposed;clear;attached;NA;NA;NA;NA
Astreopora_myriophthalma;colonial;2.3;NA;45;2;massive;broad;clear;attached;NA;hermaphrodite;spawner;7.75
Astreopora_ocellata;colonial;2.5;NA;30;5;massive;broad;clear;attached;NA;NA;NA;NA
Astreopora_randalli;colonial;1.5;NA;15;5;laminar;protected;clear;attached;NA;NA;NA;NA
Astreopora_scabra;colonial;2.5;NA;15;3;massive;broad;clear;attached;NA;NA;NA;NA
Astreopora_suggesta;colonial;1.6;NA;15;5;massive;broad;clear;attached;NA;NA;NA;NA
Astroides_calycularis;NA;NA;NA;NA;NA;NA;broad;both;NA;NA;gonochore;brooder;NA
Australogyra_zelli;colonial;7.2;200;15;1;branching_closed;protected;turbid;attached;NA;hermaphrodite;spawner;NA
Balanophyllia_europaea;solitary;2.2;2;NA;NA;massive;protected;clear;attached;NA;hermaphrodite;brooder;NA
Bernardpora_stutchburyi;colonial;NA;NA;30;1;encrusting;protected;clear;attached;NA;gonochore;NA;NA
Blastomussa_merleti;NA;6;NA;50;2;NA;protected;turbid;NA;NA;NA;NA;NA
Blastomussa_omanensis;colonial;7;NA;20;3;encrusting;broad;both;attached;NA;NA;NA;NA
Blastomussa_wellsi;colonial;18.9;NA;40;2;massive;protected;turbid;attached;NA;NA;spawner;NA
Boninastrea_boninensis;colonial;6.5;NA;NA;NA;massive;protected;clear;attached;NA;NA;NA;NA
Cantharellus_doederleini;solitary;53.3;5;30;15;massive;exposed;clear;attached;NA;NA;NA;NA
Cantharellus_jebbi;both;20;20;25;10;encrusting;protected;clear;attached;NA;NA;NA;NA
Cantharellus_noumeae;both;200;20;30;20;encrusting;protected;clear;attached;NA;NA;NA;NA
Catalaphyllia_jardinei;colonial;21.3;100;40;0;massive;protected;turbid;attached;NA;NA;spawner;NA
Caulastraea_connata;colonial;27.5;NA;10;0;massive;broad;clear;attached;NA;NA;NA;NA
Caulastraea_curvata;colonial;13.9;100;20;0;branching_closed;protected;clear;attached;NA;NA;NA;NA
Caulastraea_echinulata;colonial;13.8;NA;18;1;massive;protected;turbid;attached;NA;NA;NA;NA
